is_landslide,dem,slope,twi,landcover,soil_sand,soil_clay,soil_cfvo,rain_annual_norm,rain_monsoon_norm,snow_winter,snow_spring,rain_event_7d,rain_antecedent_30d,rain_max_daily,runoff_event_7d,runoff_antecedent_30d,runoff_max_daily
1,1361.0,31.259968,10.28519,10.0,35.0,21.0,16.0,1020.6707,390.8344,0.69716114,0.9481771,305.02611,100.9881625,184.60103,0.09267421863,0.022890222209999988,0.034740094
1,1488.0,34.889915,9.640354,10.0,34.0,25.0,15.0,1343.8058,1033.4226,0.91030294,0.98514736,479.61173999999994,348.89547519999996,271.29898,0.1474744021,0.025941754839999998,0.056930102
1,4912.0,19.512676,10.875485,60.0,45.0,19.0,24.0,172.5226,23.982763,0.56882185,0.4882898,11.541376099999999,0.0,16.492342,0.0011660880899999999,0.0004593932948,0.007871632
1,1992.0,36.346676,9.731713,10.0,34.0,29.0,16.0,1322.2551,994.89935,0.39627045,0.9138119,468.57827,332.3992574999999,267.6923,0.16202941569999998,0.03077638031,0.06185622
1,3561.0,24.128468,9.784189,60.0,48.0,19.0,22.0,158.0617,89.008835,0.8006363,0.94424593,40.113094,18.2378046,40.113094,0.000984694264,0.0003008094051,0.012458459
1,867.0,24.91855,9.672217,10.0,33.0,22.0,17.0,1179.851,882.86786,0.88181615,0.9967708,508.62062000000003,277.57467596000004,352.08136,0.10854540830000001,0.024967655229999997,0.036120877
1,1090.0,20.057236,10.1100855,10.0,32.0,28.0,16.0,1266.47,824.21765,0.94060177,0.99847245,268.5745,221.5380118,268.5745,0.19256230259999998,0.022208078179999997,0.074680164
1,1191.0,26.265694,11.304123,30.0,37.0,23.0,22.0,1100.9197,533.13074,0.5263303,0.96842843,126.37736,186.172602,126.37736,0.16963102869999996,0.045489916750000005,0.059683327
1,1050.0,16.484678,10.303272,40.0,40.0,26.0,14.0,1409.2738,939.44257,0.9695501,0.98938614,539.541497,355.499918,240.68726,0.0412871292,0.0770578524,0.009542007
1,876.0,29.606785,11.566284,10.0,34.0,29.0,16.0,1054.8708,487.11993,0.8557997,0.99064595,370.93153,139.3451505,222.55893,0.0845323477,0.018519716529999997,0.042658545
1,755.0,21.372917,13.814004,50.0,36.0,27.0,16.0,1002.1583,487.8425,0.79652613,0.98266983,368.09739,142.1384736,230.62512,0.08465237319999999,0.019438621380000003,0.041324068
1,3431.0,4.0344377,11.836042,30.0,49.0,19.0,21.0,161.65724,94.031715,0.82272935,0.9589848,39.15615,20.1186705,39.15615,0.000932005188,0.0002996302593,0.012290384
